Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Endgame,"$2,799,439,100","$858,373,000",30.7%,"$1,941,066,100",69.3%
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
10,Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%
11,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.9%,"$586,775,991",77.1%
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
18,Pokémon: Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
19,The Secret Life of Pets 2,"$431,058,604","$158,874,395",36.9%,"$272,184,209",63.1%
20,The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%
21,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
23,1917,"$384,579,437","$159,227,644",41.4%,"$225,351,793",58.6%
24,Once Upon a Time in Hollywood,"$377,426,903","$142,502,728",37.8%,"$234,924,175",62.2%
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
27,John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.2%,"$156,761,648",47.8%
28,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%
29,Knives Out,"$312,897,920","$165,363,234",52.8%,"$147,534,686",47.2%
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
31,Parasite,"$258,710,043","$53,369,749",20.6%,"$205,340,294",79.4%
32,Us,"$256,022,707","$175,084,580",68.4%,"$80,938,127",31.6%
33,Pegasus,"$255,863,112",-,-,"$255,863,112",100%
34,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
35,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
36,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
37,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
38,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
39,Better Days,"$225,918,798","$1,921,657",0.9%,"$223,997,141",99.1%
40,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%
