Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
377,Baahubali 2: The Conclusion,254158390,20186659,233971731,2017.csv,2017,0.07942550706274147,0.9205744929372586
378,Men in Black: International,253890701,80001807,173888894,2019.csv,2019,0.31510333653377876,0.6848966634662212
379,X-Men: Dark Phoenix,252442974,65845974,186597000,2019.csv,2019,0.26083504308580996,0.73916495691419
380,Dolittle,251410631,77047065,174363566,2020.csv,2020,0.3064590574135268,0.6935409425864733
381,American Hustle,251171807,150117807,101054000,2013.csv,2013,0.5976698133162692,0.4023301866837308
382,Brother Bear,250397798,85336277,165061521,2003.csv,2003,0.34080282527085165,0.6591971747291484
383,The Bad Guys,250162278,97233630,152928648,2022.csv,2022,0.38868222170570416,0.6113177782942958
384,The Ring,249348933,129128133,120220800,2002.csv,2002,0.5178611813029094,0.48213881869709063
385,Unbreakable,248118121,95011339,153106782,2000.csv,2000,0.3829278515292319,0.6170721484707681
386,Journey to the West: The Demons Strike Back,247585244,880346,246704898,2017.csv,2017,0.0035557288704976295,0.9964442711295024
387,Glass,246999039,111048468,135950571,2019.csv,2019,0.44959068848846817,0.5504093115115318
388,Grown Ups 2,246984278,133668525,113315753,2013.csv,2013,0.5412025659382255,0.4587974340617746
389,The Peanuts Movie,246233113,130178411,116054702,2015.csv,2015,0.5286795484732388,0.47132045152676116
390,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,163572247,2016.csv,2016,0.3340538863311025,0.6659461136688974
391,Hulk,245285165,132177234,113107931,2003.csv,2003,0.5388717006183394,0.4611282993816605
392,The Bravest,245179562,290217,244889345,2019.csv,2019,0.0011836916488169597,0.9988163083511831
393,Love Actually,244931766,59696144,185235622,2003.csv,2003,0.24372560968674026,0.7562743903132597
394,Pixels,244874809,78747585,166127224,2015.csv,2015,0.3215830379677805,0.6784169620322195
395,Hercules,244819862,72688614,172131248,2014.csv,2014,0.29690652304999665,0.7030934769500033
396,After Earth,243611982,60522097,183089885,2013.csv,2013,0.24843645416422908,0.7515635458357709
397,8 Mile,242875078,116750901,126124177,2002.csv,2002,0.48070350388111865,0.5192964961188813
398,Daddy's Home,242786137,150357137,92429000,2015.csv,2015,0.6192986916711806,0.38070130832881943
399,RoboCop,242688965,58607007,184081958,2014.csv,2014,0.24149020125410317,0.7585097987458969
400,Alien: Covenant,240891763,74262031,166629732,2017.csv,2017,0.3082796608533269,0.6917203391466731
401,Sully,240797623,125070033,115727590,2016.csv,2016,0.5193989518742052,0.48060104812579485
402,Assassin's Creed,240697856,54647948,186049908,2016.csv,2016,0.2270396126835463,0.7729603873164537
403,Legend of Deification,240646355,214670,240431685,2020.csv,2020,0.0008920558967120029,0.999107944103288
404,Bullet Train,239268602,103368602,135900000,2022.csv,2022,0.43201908288827634,0.5679809171117237
405,Planes,239258712,90288712,148970000,2013.csv,2013,0.37736854489127236,0.6226314551087276
406,Crazy Rich Asians,238532921,174532921,64000000,2018.csv,2018,0.7316932198218459,0.2683067801781541
407,Gone in 60 Seconds,237202299,101648571,135553728,2000.csv,2000,0.4285311374659147,0.5714688625340854
408,2 Fast 2 Furious,236350661,127154901,109195760,2003.csv,2003,0.5379925762086191,0.4620074237913809
409,Hidden Figures,235956898,169607287,66349611,2016.csv,2016,0.7188062245164792,0.2811937754835207
410,A.I. Artificial Intelligence,235926552,78616689,157309863,2001.csv,2001,0.33322527004082186,0.6667747299591782
411,Spy,235666219,110825712,124840507,2015.csv,2015,0.47026558354551445,0.5297344164544856
412,Howl's Moving Castle,235347345,4711096,230636249,2004.csv,2004,0.020017629686878344,0.9799823703131216
413,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,2015.csv,2015,0.3657899741802589,0.6342100258197412
414,The Imitation Game,233555708,91125683,142430025,2014.csv,2014,0.39016679909188945,0.6098332009081106
415,Cruella,233503234,86103234,147400000,2021.csv,2021,0.3687453596467105,0.6312546403532895
416,American Wedding,232722935,104565114,128157821,2003.csv,2003,0.4493115987902095,0.5506884012097906
417,Annabelle Comes Home,231252591,74152591,157100000,2019.csv,2019,0.32065626023623667,0.6793437397637634
418,Constantine,230884728,75976178,154908550,2005.csv,2005,0.32906541137705736,0.6709345886229426
419,The Heat,229930771,159582188,70348583,2013.csv,2013,0.6940445043782331,0.30595549562176694
420,Ghostbusters,229147509,128350574,100796935,2016.csv,2016,0.5601220565744837,0.43987794342551634
421,Goodbye Mr. Loser,228122928,1293626,226829302,2015.csv,2015,0.005670740820931423,0.9943292591790686
422,Paddington 2,227978523,40891591,187086932,2017.csv,2017,0.17936597913655225,0.8206340208634477
423,Youth,227091290,1891956,225199334,2017.csv,2017,0.00833125744276674,0.9916687425572333
424,Baby Driver,226945087,107825862,119119225,2017.csv,2017,0.47511873213628986,0.5248812678637101
425,Lightyear,226425420,118307188,108118232,2022.csv,2022,0.5224995850730894,0.4775004149269106
426,Hansel & Gretel: Witch Hunters,226349749,55703475,170646274,2013.csv,2013,0.2460947062945495,0.7539052937054505
427,Better Days,225918798,1921657,223997141,2019.csv,2019,0.008505963279779843,0.9914940367202202
428,Valerian and the City of a Thousand Planets,225874228,41189488,184684740,2017.csv,2017,0.18235585513545174,0.8176441448645483
429,Ford v Ferrari,225508210,117624357,107883853,2019.csv,2019,0.521596783549477,0.47840321645052303
430,Chicken Run,224834564,106834564,118000000,2000.csv,2000,0.47516966297050306,0.524830337029497
431,Flightplan,223387299,89707299,133680000,2005.csv,2005,0.40157743704130644,0.5984225629586936
432,Non-Stop,222809600,92168600,130641000,2014.csv,2014,0.4136652998793589,0.5863347001206412
