Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
855,White Chicks,113086475,70831760,42254715,2004.csv,2004,0.6263504101617811,0.37364958983821894
856,Insidious: Chapter 3,112983889,52218558,60765331,2015.csv,2015,0.46217702773534375,0.5378229722646563
857,A Man Called Otto,112915441,64267657,48647784,2022.csv,2022,0.5691662400716302,0.43083375992836975
858,Final Destination,112880294,53331147,59549147,2000.csv,2000,0.47245754870199047,0.5275424512980096
859,Boonie Bears: Blast Into the Past,112367881,0,112367881,2019.csv,2019,0.0,1.0
860,How to Be Single,112343513,46843513,65500000,2016.csv,2016,0.4169667811616324,0.5830332188383677
861,The Exorcist 2000 Director's Cut,112053066,39671011,72382055,2000.csv,2000,0.3540377110252387,0.6459622889747613
862,The Purge: Anarchy,111928365,71962800,39965565,2014.csv,2014,0.6429362208587609,0.35706377914123916
863,"Dad, Where Are We Going?",111870000,0,111870000,2014.csv,2014,0.0,1.0
864,Get Hard,111711453,90411453,21300000,2015.csv,2015,0.809330203591569,0.19066979640843093
865,The Call of the Wild,111257878,62342368,48915510,2020.csv,2020,0.5603411562460323,0.4396588437539677
866,Good Boys,111173598,83140306,28033292,2019.csv,2019,0.7478421810185544,0.25215781898144557
867,The Dukes of Hazzard,111069515,80270227,30799288,2005.csv,2005,0.7227025975579348,0.27729740244206524
868,Mission to Mars,110983407,60883407,50100000,2000.csv,2000,0.5485811676334643,0.4514188323665357
869,"Lyle, Lyle, Crocodile",110979946,46888441,64091505,2022.csv,2022,0.4224947180997907,0.5775052819002092
870,Free Birds,110387072,55750480,54636592,2013.csv,2013,0.5050453734292364,0.49495462657076367
871,The Kid,110317580,69691949,40625631,2000.csv,2000,0.6317392839835682,0.36826071601643184
872,10 Cloverfield Lane,110216998,72082998,38134000,2016.csv,2016,0.6540098107190326,0.34599018928096736
873,Buddies in India,110155128,293194,109861934,2017.csv,2017,0.002661646401064506,0.9973383535989355
874,Hoodwinked,110013167,51386611,58626556,2005.csv,2005,0.46709509780770153,0.5329049021922985
875,The 5th Wave,109906372,34916787,74989585,2015.csv,2015,0.3176957474312772,0.6823042525687227
876,Return to Never Land,109862682,48430258,61432424,2002.csv,2002,0.4408253750805028,0.5591746249194972
877,Sideways,109706931,71503593,38203338,2004.csv,2004,0.6517691484779572,0.34823085152204286
878,Treasure Planet,109578115,38176783,71401332,2002.csv,2002,0.3483978803614207,0.6516021196385793
879,Along With the Gods: The Two Worlds,109383972,1908823,107475149,2017.csv,2017,0.017450664526974757,0.9825493354730253
880,Billy Elliot,109280263,21995263,87285000,2000.csv,2000,0.20127388419627065,0.7987261158037293
881,The Hours,108846072,41675994,67170078,2002.csv,2002,0.382889278723811,0.617110721276189
882,Cinderella Man,108539911,61649911,46890000,2005.csv,2005,0.5679930122662437,0.4320069877337563
883,The Boxtrolls,108255770,50837305,57418465,2014.csv,2014,0.4696036525351027,0.5303963474648973
884,Hidalgo,108040622,67303450,40737172,2004.csv,2004,0.6229457842254925,0.3770542157745075
885,Asterix & Obelix: Mission Cleopatra,108012365,0,108012365,2002.csv,2002,0.0,1.0
886,Neighbors 2: Sorority Rising,108007109,55455765,52551344,2016.csv,2016,0.5134455084803723,0.48655449151962765
887,Horrible Bosses 2,107645357,54445357,53200000,2014.csv,2014,0.5057845365313806,0.49421546346861944
888,Paul Blart: Mall Cop 2,107588225,71038190,36550035,2015.csv,2015,0.6602784830774929,0.33972151692250707
889,The Amityville Horror,107516369,65233369,42283000,2005.csv,2005,0.6067296506265013,0.39327034937349864
890,Clifford the Big Red Dog,107347356,48947356,58400000,2021.csv,2021,0.4559716962195138,0.5440283037804862
891,Vacation,107228221,58884188,48344033,2015.csv,2015,0.5491482321617552,0.45085176783824477
892,Shaft,107196498,70334258,36862240,2000.csv,2000,0.656124587204332,0.343875412795668
893,The Texas Chainsaw Massacre,107071655,80571655,26500000,2003.csv,2003,0.7525021911728179,0.24749780882718214
894,The Man from U.N.C.L.E.,107045109,45445109,61600000,2015.csv,2015,0.42454166682197503,0.575458333178025
895,The Breakup Guru,106980263,208959,106771304,2014.csv,2014,0.00195324814260365,0.9980467518573963
896,Chronicles of the Ghostly Tribe,106380000,0,106380000,2015.csv,2015,0.0,1.0
897,The Whole Nine Yards,106371651,57262492,49109159,2000.csv,2000,0.5383247459419428,0.46167525405805726
898,Shaun the Sheep Movie,106209378,19375982,86833396,2015.csv,2015,0.18243193176406702,0.817568068235933
899,About Schmidt,105834556,65016287,40818269,2002.csv,2002,0.6143200241705554,0.3856799758294446
900,First Man,105697415,44936545,60760870,2018.csv,2018,0.4251432733714443,0.5748567266285557
901,The Brothers Grimm,105316267,37916267,67400000,2005.csv,2005,0.36002289181024616,0.6399771081897538
902,Gangster Squad,105200903,46000903,59200000,2013.csv,2013,0.4372671877160598,0.5627328122839402
903,Along Came a Spider,105178561,74078174,31100387,2001.csv,2001,0.7043086851131192,0.2956913148868808
