Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Super Mario Bros. Movie,"$1,352,756,895","$574,173,895",42.4%,"$778,583,000",57.6%
2,Barbie,"$1,031,481,000","$459,381,000",44.5%,"$572,100,000",55.5%
3,Guardians of the Galaxy Vol. 3,"$845,332,006","$358,991,799",42.5%,"$486,340,207",57.5%
4,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
5,Spider-Man: Across the Spider-Verse,"$683,760,323","$380,072,201",55.6%,"$303,688,122",44.4%
6,The Little Mermaid,"$564,330,882","$297,102,718",52.6%,"$267,228,164",47.4%
7,Oppenheimer,"$552,943,620","$228,568,620",41.3%,"$324,375,000",58.7%
8,Mission: Impossible - Dead Reckoning Part One,"$493,802,770","$151,002,770",30.6%,"$342,800,000",69.4%
9,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
10,Transformers: Rise of the Beasts,"$433,713,663","$157,013,663",36.2%,"$276,700,000",63.8%
11,John Wick: Chapter 4,"$426,978,565","$187,131,806",43.8%,"$239,846,759",56.2%
12,Elemental,"$423,698,938","$148,298,938",35%,"$275,400,000",65%
13,Indiana Jones and the Dial of Destiny,"$368,440,059","$170,640,059",46.3%,"$197,800,000",53.7%
14,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
15,The Flash,"$268,394,849","$107,994,849",40.2%,"$160,400,000",59.8%
16,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
17,Insidious: The Red Door,"$182,430,087","$80,630,087",44.2%,"$101,800,000",55.8%
18,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
19,Sound of Freedom,"$163,472,260","$163,472,260",100%,-,-
20,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
21,Meg 2: The Trench,"$142,000,000","$30,000,000",21.1%,"$112,000,000",78.9%
22,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
23,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,096,840",73.8%
24,Detective Conan: Black Iron Submarine,"$103,720,914",-,-,"$103,720,914",100%
25,Air,"$89,960,106","$52,460,106",58.3%,"$37,500,000",41.7%
26,Cocaine Bear,"$87,649,532","$64,388,510",73.5%,"$23,261,022",26.5%
27,The Roundup: No Way Out,"$85,615,674","$909,411",1.1%,"$84,706,263",98.9%
28,No Hard Feelings,"$84,981,563","$50,285,988",59.2%,"$34,695,575",40.8%
29,Chebi: My Fluffy Friend,"$76,795,223",-,-,"$76,795,223",100%
30,The Pope's Exorcist,"$76,160,110","$20,009,380",26.3%,"$56,150,730",73.7%
31,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.4%,"$55,123,677",78.6%
32,The Boogeyman,"$66,978,229","$43,244,282",64.6%,"$23,733,947",35.4%
33,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
34,Haunted Mansion,"$59,620,808","$42,020,808",70.5%,"$17,600,000",29.5%
35,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%
36,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
37,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
38,Mummies,"$54,275,970","$4,275,970",7.9%,"$50,000,000",92.1%
39,Jesus Revolution,"$52,417,940","$52,102,987",99.4%,"$314,953",0.6%
40,Plane,"$52,228,094","$32,111,181",61.5%,"$20,116,913",38.5%
41,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$51,573,468","$43,073,468",83.5%,"$8,500,000",16.5%
42,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
43,Asteroid City,"$46,952,390","$27,786,960",59.2%,"$19,165,430",40.8%
44,Asterix & Obelix: The Middle Kingdom,"$46,497,671",-,-,"$46,497,671",100%
45,80 for Brady,"$40,362,938","$39,330,588",97.4%,"$1,032,350",2.6%
46,"Ruby Gillman, Teenage Kraken","$40,148,338","$15,696,610",39.1%,"$24,451,728",60.9%
47,Operation Fortune: Ruse de Guerre,"$37,846,956","$6,496,125",17.2%,"$31,350,831",82.8%
48,Ride On,"$36,232,675","$128,950",0.4%,"$36,103,725",99.6%
49,Doraemon the Movie: Nobita's Sky Utopia,"$35,671,492",-,-,"$35,671,492",100%
50,Alibi.com 2,"$33,886,910",-,-,"$33,886,910",100%
51,The Boy and the Heron,"$33,248,189",-,-,"$33,248,189",100%
52,The Three Musketeers: D'Artagnan,"$31,165,459",-,-,"$31,165,459",100%
53,Tokyo MER,"$30,226,383",-,-,"$30,226,383",100%
54,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
55,Book Club: The Next Chapter,"$28,013,296","$17,556,340",62.7%,"$10,456,956",37.3%
56,Renfield,"$26,348,085","$17,152,625",65.1%,"$9,195,460",34.9%
57,Talk to Me,"$24,804,842","$22,135,092",89.2%,"$2,669,750",10.8%
