Rank,Release Group,Worldwide,Domestic,%,Foreign,%
58,The Challenge,"$21,899,392",-,-,"$21,899,392",100%
59,The Covenant,"$21,755,275","$16,938,039",77.9%,"$4,817,236",22.1%
60,"Are You There God? It's Me, Margaret.","$21,462,505","$20,372,406",94.9%,"$1,090,099",5.1%
61,"Miraculous: Ladybug & Cat Noir, the Movie","$21,249,707",-,-,"$21,249,707",100%
62,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
63,My Happy Marriage,"$19,439,523",-,-,"$19,439,523",100%
64,Champions,"$18,894,015","$16,271,910",86.1%,"$2,622,105",13.9%
65,The Blackening,"$17,707,207","$17,707,207",100%,-,-
66,About My Father,"$17,612,455","$12,089,391",68.6%,"$5,523,064",31.4%
67,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
68,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
69,Die drei ??? - Erbe des Drachen,"$15,821,876",-,-,"$15,821,876",100%
70,Shin Kamen Rider,"$15,787,771",-,-,"$15,787,771",100%
71,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$15,500,146",-,-,"$15,500,146",100%
72,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
73,Joy Ride,"$14,352,925","$12,897,789",89.9%,"$1,455,136",10.1%
74,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$13,915,338",-,-,"$13,915,338",100%
75,Mavka: The Forest Song,"$13,703,565",-,-,"$13,703,565",100%
76,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
77,Sisu,"$13,008,980","$7,265,622",55.9%,"$5,743,358",44.1%
78,"Manta, Manta - Zwoter Teil","$13,000,848",-,-,"$13,000,848",100%
79,Smugglers,"$12,825,438",-,-,"$12,825,438",100%
80,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
81,Epic Tails,"$12,613,012",-,-,"$12,613,012",100%
82,His Only Son,"$12,234,765","$12,084,084",98.8%,"$150,681",1.2%
83,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
84,Beau Is Afraid,"$11,454,102","$8,176,562",71.4%,"$3,277,540",28.6%
85,What's Love Got to Do with It?,"$11,111,510",-,-,"$11,111,510",100%
86,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
87,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
88,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
89,The Crime Is Mine,"$10,025,717",-,-,"$10,025,717",100%
90,Hypnotic,"$9,424,597","$4,500,169",47.7%,"$4,924,428",52.3%
91,House Party,"$9,284,647","$9,002,247",97%,"$282,400",3%
92,Past Lives,"$9,199,489","$9,141,172",99.4%,"$58,317",0.6%
93,All Your Faces,"$8,969,128",-,-,"$8,969,128",100%
94,The Wandering Earth II,"$8,850,805","$5,023,132",56.8%,"$3,827,673",43.2%
95,Father & Soldier,"$8,588,159",-,-,"$8,588,159",100%
96,Dream,"$8,317,251",-,-,"$8,317,251",100%
97,Kandahar,"$8,245,332","$4,813,132",58.4%,"$3,432,200",41.6%
98,Sur les chemins noirs,"$7,964,795",-,-,"$7,964,795",100%
99,Jeanne du Barry,"$7,678,760",-,-,"$7,678,760",100%
100,Eiga 'Ichikei no karasu',"$7,377,092",-,-,"$7,377,092",100%
101,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,"$7,259,924","$7,259,924",100%,-,-
102,Pravednik,"$7,106,593",-,-,"$7,106,593",100%
103,Les petites victoires,"$7,056,157",-,-,"$7,056,157",100%
104,Knights of the Zodiac,"$6,951,086","$1,090,155",15.7%,"$5,860,931",84.3%
105,Beautiful Disaster,"$6,850,036",-,-,"$6,850,036",100%
106,Rafadan Tayfa Galaktik Tayfa,"$6,326,137",-,-,"$6,326,137",100%
107,Kishibe Rohan Rûvuru e iku,"$6,292,792",-,-,"$6,292,792",100%
108,Poyekhavshaya,"$6,281,428",-,-,"$6,281,428",100%
109,Marlowe,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
110,Vacaciones de verano,"$6,225,389",-,-,"$6,225,389",100%
111,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
112,Life for Real,"$6,100,224",-,-,"$6,100,224",100%
113,"And Yet, You Are So Sweet","$6,099,393",-,-,"$6,099,393",100%
114,A Brighter Tomorrow,"$6,064,691",-,-,"$6,064,691",100%
115,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
116,The Childe,"$5,932,589","$102,021",1.7%,"$5,830,568",98.3%
117,The Devil's Deal,"$5,702,702",-,-,"$5,702,702",100%
118,You Hurt My Feelings,"$5,689,906","$4,830,788",84.9%,"$859,118",15.1%
119,Blue Giant,"$5,604,267",-,-,"$5,604,267",100%
120,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
121,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
122,Nefarious,"$5,433,685","$5,433,685",100%,-,-
123,Detective Conan: Episode of Ai Haibara ~ Black Iron Mystery Train,"$5,336,285",-,-,"$5,336,285",100%
124,10 jours encore sans maman,"$5,295,494",-,-,"$5,295,494",100%
125,¡Vaya vacaciones!,"$5,277,413",-,-,"$5,277,413",100%
126,Little Bird: The Big Quest,"$5,211,523",-,-,"$5,211,523",100%
127,Infinity Pool,"$5,183,424","$5,078,400",98%,"$105,024",2%
128,Phantom,"$5,173,638",-,-,"$5,173,638",100%
129,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),"$5,166,455",-,-,"$5,166,455",100%
130,The Unlikely Pilgrimage of Harold Fry,"$5,145,297",-,-,"$5,145,297",100%
131,Rebound,"$5,145,202",-,-,"$5,145,202",100%
132,Chi Chi Em Em 2,"$5,109,674",-,-,"$5,109,674",100%
133,Shylock's Children,"$5,102,646",-,-,"$5,102,646",100%
134,Cats in the Museum,"$5,101,035",-,-,"$5,101,035",100%
135,Emergency Landing,"$5,092,104",-,-,"$5,092,104",100%
136,Allelujah,"$5,035,719",-,-,"$5,035,719",100%
137,Ponniyin Selvan: Part Two,"$5,035,633","$3,813,000",75.7%,"$1,222,633",24.3%
138,Me contro Te - il Film: Missione Giungla,"$5,031,684",-,-,"$5,031,684",100%
139,Someday or One Day,"$5,009,619",-,-,"$5,009,619",100%
140,Just the Two of Us,"$4,965,555",-,-,"$4,965,555",100%
141,Winnie the Pooh: Blood and Honey,"$4,941,200","$1,750,639",35.4%,"$3,190,561",64.6%
142,SSSS.Gridman,"$4,636,916",-,-,"$4,636,916",100%
143,Sage homme,"$4,613,332",-,-,"$4,613,332",100%
144,2018,"$4,547,765",-,-,"$4,547,765",100%
145,IM HERO THE FINAL,"$4,514,656",-,-,"$4,514,656",100%
146,Mari(dos),"$4,483,495",-,-,"$4,483,495",100%
147,Maamannan,"$4,463,992",-,-,"$4,463,992",100%
148,Maybe I Do,"$4,442,819","$1,293,722",29.1%,"$3,149,097",70.9%
149,Last Night of Amore,"$4,415,564",-,-,"$4,415,564",100%
150,Nyurnberg,"$4,354,380",-,-,"$4,354,380",100%
151,When Will It Be Again Like It Never Was Before,"$4,282,908",-,-,"$4,282,908",100%
152,The Book of Wonders,"$4,249,063",-,-,"$4,249,063",100%
153,¡Que viva México!,"$4,218,942","$161,222",3.8%,"$4,057,720",96.2%
154,Marry My Dead Body,"$4,045,026",-,-,"$4,045,026",100%
155,Tu Jhoothi Main Makkaar,"$4,035,915","$2,503,604",62%,"$1,532,311",38%
156,Touken Ranbu 2,"$4,025,574",-,-,"$4,025,574",100%
157,Chevalier,"$3,942,191","$3,541,159",89.8%,"$401,032",10.2%
158,Kutsal Damacana 4,"$3,890,946",-,-,"$3,890,946",100%
159,Neposredstvenno Kakha. Drugoy film,"$3,869,893",-,-,"$3,869,893",100%
160,Kokan Uso Nikki,"$3,867,992",-,-,"$3,867,992",100%
161,Satyaprem Ki Katha,"$3,846,238",-,-,"$3,846,238",100%
162,Unprincipled in the Village,"$3,842,262",-,-,"$3,842,262",100%
163,Les vengeances de Maître Poutifard,"$3,832,815",-,-,"$3,832,815",100%
164,The Sitting Duck,"$3,832,453",-,-,"$3,832,453",100%
165,Nemesis the Movie: Mystery of Golden Spiral,"$3,821,231",-,-,"$3,821,231",100%
166,Un homme heureux,"$3,791,739",-,-,"$3,791,739",100%
167,O chem govoryat muzhchiny. Prostyye udovolstviya,"$3,686,446",-,-,"$3,686,446",100%
168,A Great Friend,"$3,664,736",-,-,"$3,664,736",100%
169,Left Behind: Rise of the Antichrist,"$3,649,422","$3,649,422",100%,-,-
170,The Journey: A Music Special from Andrea Bocelli,"$3,598,985","$3,574,915",99.3%,"$24,070",0.7%
171,The Black Demon,"$3,539,540",-,-,"$3,539,540",100%
172,A Thousand and One,"$3,463,680","$3,400,020",98.2%,"$63,660",1.8%
173,Carry on Jatta 3,"$3,353,522",-,-,"$3,353,522",100%
174,Neposlushnaya,"$3,339,676",-,-,"$3,339,676",100%
175,The Communion Girl,"$3,331,181",-,-,"$3,331,181",100%
176,Con Nhot Mot Chong,"$3,217,638",-,-,"$3,217,638",100%
177,Tramite amicizia,"$3,212,885",-,-,"$3,212,885",100%
178,My Beautiful Man ～Eternal～,"$3,147,751",-,-,"$3,147,751",100%
179,Switch,"$3,146,901",-,-,"$3,146,901",100%
180,Saigo made Iku,"$3,135,462",-,-,"$3,135,462",100%
181,To Catch a Killer,"$3,046,603",-,-,"$3,046,603",100%
182,2023 Oscar Nominated Short Films: Live Action,"$3,025,631","$3,025,631",100%,-,-
183,Count,"$2,988,798",-,-,"$2,988,798",100%
184,John Farnham: Finding the Voice,"$2,979,360",-,-,"$2,979,360",100%
185,Grazie ragazzi,"$2,927,984",-,-,"$2,927,984",100%
186,Asterix & Obelix: Mission Cleopatra 2023 Re-release,"$2,927,160",-,-,"$2,927,160",100%
187,Two Tickets to Greece,"$2,910,645",-,-,"$2,910,645",100%
188,Over My Dead Body,"$2,893,637",-,-,"$2,893,637",100%
189,The Quintessential Quintuplets Specials,"$2,687,534",-,-,"$2,687,534",100%
190,Yudo: The Way of the Bath,"$2,681,954",-,-,"$2,681,954",100%
191,A Good Person,"$2,665,428","$2,210,465",82.9%,"$454,963",17.1%
192,Notre tout petit petit mariage,"$2,658,906",-,-,"$2,658,906",100%
193,Rascal Does Not Dream of a Sister Venturing Out,"$2,647,589",-,-,"$2,647,589",100%
194,Ostrov,"$2,587,061",-,-,"$2,587,061",100%
195,The First Day of My Life,"$2,553,978",-,-,"$2,553,978",100%
196,Varisu,"$2,528,333",-,-,"$2,528,333",100%
197,The Lulus,"$2,521,080",-,-,"$2,521,080",100%
198,Come Out in Jesus Name,"$2,500,574","$2,500,574",100%,-,-
199,Polite Society,"$2,498,503","$1,545,600",61.9%,"$952,903",38.1%
200,Yaga i kniga zaklinaniy,"$2,481,493",-,-,"$2,481,493",100%
