Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,912,233,593","$804,793,477",42.1%,"$1,107,440,116",57.9%
2,The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.1%,"$293,313,226",57.9%
8,Godzilla vs. Kong,"$470,116,094","$100,916,094",21.5%,"$369,200,000",78.5%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Sing 2,"$408,391,841","$162,790,990",39.9%,"$245,600,851",60.1%
11,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
12,Dune,"$402,027,830","$108,327,830",26.9%,"$293,700,000",73.1%
13,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$256,786,742","$96,093,622",37.4%,"$160,693,120",62.6%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,831,086","$177,133",<0.1%,"$221,653,953",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%
21,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%
22,Ghostbusters: Afterlife,"$204,334,455","$129,360,575",63.3%,"$74,973,880",36.7%
23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
25,The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%
26,Jujutsu Kaisen 0,"$166,760,828","$34,542,754",20.7%,"$132,218,074",79.3%
27,Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%
28,The Matrix Resurrections,"$157,286,805","$37,686,805",24%,"$119,600,000",76%
29,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
30,House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%
31,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
32,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
33,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
34,Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%
35,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%
36,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
37,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
38,Sister,"$128,317,206",-,-,"$128,317,206",100%
39,The King's Man,"$125,897,478","$37,176,373",29.5%,"$88,721,105",70.5%
40,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
41,My Love,"$116,445,242","$86,252",<0.1%,"$116,358,990",99.9%
42,Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.6%,"$58,400,000",54.4%
43,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
44,Detective Conan: The Scarlet Bullet,"$95,580,715",-,-,"$95,580,715",100%
45,Evangelion: 3.0+1.01 Thrice Upon a Time,"$93,763,012","$810,744",0.9%,"$92,952,268",99.1%
46,End Game,"$91,824,961","$23,149",<0.1%,"$91,801,812",100%
47,Old,"$90,146,510","$48,276,510",53.6%,"$41,870,000",46.4%
48,Mortal Kombat,"$84,426,031","$42,326,031",50.1%,"$42,100,000",49.9%
49,Boonie Bears: The Wild Life,"$78,132,231",-,-,"$78,132,231",100%
50,Candyman,"$77,411,570","$61,186,570",79%,"$16,225,000",21%
51,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
52,West Side Story,"$76,016,171","$38,530,322",50.7%,"$37,485,849",49.3%
53,1921,"$75,159,828",-,-,"$75,159,828",100%
54,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",54.3%,"$32,045,765",45.7%
55,Escape Room: Tournament of Champions,"$65,774,490","$25,314,753",38.5%,"$40,459,737",61.5%
56,Belle,"$64,666,502","$4,018,313",6.2%,"$60,648,189",93.8%
57,Ron's Gone Wrong,"$60,692,022","$23,009,270",37.9%,"$37,682,752",62.1%
58,Cloudy Mountain,"$58,346,882",-,-,"$58,346,882",100%
59,Avatar 2021 Re-release,"$57,995,770",-,-,"$57,995,770",100%
60,Nobody,"$57,510,518","$27,568,035",47.9%,"$29,942,483",52.1%
61,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
62,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
63,Don't Breathe 2,"$53,785,551","$32,712,950",60.8%,"$21,072,601",39.2%
64,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
65,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
66,Schemes in Antiques,"$51,637,422","$36,501",<0.1%,"$51,600,921",99.9%
67,Luca,"$49,750,471",-,-,"$49,750,471",100%
68,Belfast,"$49,158,343","$9,250,870",18.8%,"$39,907,473",81.2%
69,My Hero Academia: World Heroes' Mission,"$46,940,541","$12,271,658",26.1%,"$34,668,883",73.9%
70,The French Dispatch,"$46,333,545","$16,124,375",34.8%,"$30,209,170",65.2%
71,In the Heights,"$45,175,167","$29,975,167",66.4%,"$15,200,000",33.6%
72,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
73,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%
74,Resident Evil: Welcome to Raccoon City,"$41,914,915","$17,000,612",40.6%,"$24,914,303",59.4%
75,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
76,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
77,Tokyo Revengers,"$39,714,073",-,-,"$39,714,073",100%
78,Nightmare Alley,"$39,629,195","$11,338,107",28.6%,"$28,291,088",71.4%
79,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
80,King Richard,"$39,429,285","$15,129,285",38.4%,"$24,300,000",61.6%
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$38,052,695",-,-,"$38,052,695",100%
82,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
83,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
84,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
85,We Made a Beautiful Bouquet,"$34,975,905",-,-,"$34,975,905",100%
86,Malignant,"$34,891,791","$13,391,791",38.4%,"$21,500,000",61.6%
87,Licorice Pizza,"$33,273,940","$17,318,007",52%,"$15,955,933",48%
88,Respect,"$32,882,823","$24,278,399",73.8%,"$8,604,424",26.2%
89,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
90,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
91,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
92,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
93,The Little Things,"$30,842,746","$15,342,746",49.7%,"$15,500,000",50.3%
94,The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%
95,The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%
96,Escape from Mogadishu,"$29,902,716","$346,271",1.2%,"$29,556,445",98.8%
97,Master,"$28,692,230",-,-,"$28,692,230",100%
98,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
99,The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%
100,American Underdog,"$26,514,814","$26,514,814",100%,-,-
101,Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%
102,The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%
103,Spencer,"$25,246,967","$7,086,632",28.1%,"$18,160,335",71.9%
104,Parallel Mothers,"$23,099,920","$2,297,501",9.9%,"$20,802,419",90.1%
105,The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%
106,99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%
