Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Frozen,"$1,280,802,282","$400,738,009",31.3%,"$880,064,273",68.7%
2,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%
3,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%
4,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%
5,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%
6,Fast & Furious 6,"$788,679,850","$238,679,850",30.3%,"$550,000,000",69.7%
7,Monsters University,"$743,559,607","$268,492,764",36.1%,"$475,066,843",63.9%
8,Gravity,"$723,192,705","$274,092,705",37.9%,"$449,100,000",62.1%
9,Man of Steel,"$668,045,518","$291,045,518",43.6%,"$377,000,000",56.4%
10,Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%
11,The Croods,"$587,204,668","$187,168,425",31.9%,"$400,036,243",68.1%
12,World War Z,"$540,007,876","$202,359,711",37.5%,"$337,648,165",62.5%
13,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.6%,"$258,400,000",52.4%
14,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%
15,The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%
16,Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%
17,The Wolf of Wall Street,"$392,000,694","$116,900,694",29.8%,"$275,100,000",70.2%
18,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%
19,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%
20,The Great Gatsby,"$353,641,895","$144,840,419",41%,"$208,801,476",59%
21,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%
22,The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%
23,The Conjuring,"$319,494,638","$137,400,141",43%,"$182,094,497",57%
24,A Good Day to Die Hard,"$304,654,182","$67,349,198",22.1%,"$237,304,984",77.9%
25,Oblivion,"$286,168,572","$89,107,235",31.1%,"$197,061,337",68.9%
26,Elysium,"$286,140,700","$93,050,117",32.5%,"$193,090,583",67.5%
27,Turbo,"$282,570,682","$83,028,128",29.4%,"$199,542,554",70.6%
28,Cloudy with a Chance of Meatballs 2,"$274,325,949","$119,793,567",43.7%,"$154,532,382",56.3%
29,Epic,"$268,426,634","$107,518,682",40.1%,"$160,907,952",59.9%
30,The Lone Ranger,"$260,502,115","$89,302,115",34.3%,"$171,200,000",65.7%
31,American Hustle,"$251,171,807","$150,117,807",59.8%,"$101,054,000",40.2%
32,Grown Ups 2,"$246,984,278","$133,668,525",54.1%,"$113,315,753",45.9%
33,After Earth,"$243,611,982","$60,522,097",24.8%,"$183,089,885",75.2%
34,Planes,"$239,258,712","$90,288,712",37.7%,"$148,970,000",62.3%
35,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%
36,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%
37,Captain Phillips,"$218,791,811","$107,100,855",49%,"$111,690,956",51%
38,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%
39,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%
40,Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.3%,"$131,290,761",65.7%
41,Jack the Giant Slayer,"$197,687,603","$65,187,603",33%,"$132,500,000",67%
42,The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",31%,"$129,896,484",69%
43,12 Years a Slave,"$187,733,202","$56,671,993",30.2%,"$131,061,209",69.8%
44,The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%
45,Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%
46,Anchorman 2: The Legend Continues,"$171,464,676","$125,168,368",73%,"$46,296,308",27%
47,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%
48,Insidious: Chapter 2,"$161,919,318","$83,586,447",51.6%,"$78,332,871",48.4%
49,Lone Survivor,"$154,802,912","$125,095,601",80.8%,"$29,707,311",19.2%
50,Jackass Presents: Bad Grandpa,"$151,826,547","$102,003,019",67.2%,"$49,823,528",32.8%
51,47 Ronin,"$151,783,839","$38,362,475",25.3%,"$113,421,364",74.7%
52,RED 2,"$148,075,565","$53,262,560",36%,"$94,813,005",64%
53,Mama,"$146,428,180","$71,628,180",48.9%,"$74,800,000",51.1%
54,Escape Plan,"$137,328,301","$25,135,965",18.3%,"$112,192,336",81.7%
55,2 Guns,"$131,940,411","$75,612,460",57.3%,"$56,327,951",42.7%
56,This Is the End,"$126,041,322","$101,470,202",80.5%,"$24,571,120",19.5%
57,Ender's Game,"$125,544,024","$61,737,191",49.2%,"$63,806,833",50.8%
58,Prisoners,"$122,126,687","$61,002,302",50%,"$61,124,385",50%
59,Jurassic Park 2013 Re-release,"$118,192,315","$45,385,935",38.4%,"$72,806,380",61.6%
60,Saving Mr. Banks,"$117,867,984","$83,301,580",70.7%,"$34,566,404",29.3%
61,Warm Bodies,"$116,980,662","$66,380,662",56.7%,"$50,600,000",43.3%
62,Personal Tailor,"$116,126,458","$375,892",0.3%,"$115,750,566",99.7%
63,So Young,"$114,926,694","$11,186",<0.1%,"$114,915,508",100%
64,Free Birds,"$110,387,072","$55,750,480",50.5%,"$54,636,592",49.5%
65,Gangster Squad,"$105,200,903","$46,000,903",43.7%,"$59,200,000",56.3%
66,Instructions Not Included,"$100,486,616","$44,467,206",44.3%,"$56,019,410",55.7%
67,Philomena,"$100,129,872","$37,709,979",37.7%,"$62,419,893",62.3%
68,Blue Jasmine,"$99,104,804","$33,405,481",33.7%,"$65,699,323",66.3%
69,Young Detective Dee: Rise of the Sea Dragon,"$98,774,891","$87,783",<0.1%,"$98,687,108",99.9%
70,Riddick,"$98,337,295","$42,025,135",42.7%,"$56,312,160",57.3%
71,Safe Haven,"$97,594,140","$71,349,120",73.1%,"$26,245,020",26.9%
72,Evil Dead,"$97,542,952","$54,239,856",55.6%,"$43,303,096",44.4%
73,42,"$97,470,701","$95,020,213",97.5%,"$2,450,488",2.5%
74,The Mortal Instruments: City of Bones,"$95,396,573","$31,165,421",32.7%,"$64,231,152",67.3%
75,Rush,"$95,224,595","$26,947,624",28.3%,"$68,276,971",71.7%
76,Police Story: Lockdown,"$94,249,025",-,-,"$94,249,025",100%
77,The Internship,"$93,492,844","$44,672,764",47.8%,"$48,820,080",52.2%
78,The Purge,"$89,328,627","$64,473,115",72.2%,"$24,855,512",27.8%
79,Dhoom 3,"$88,031,955","$8,031,955",9.1%,"$80,000,000",90.9%
80,Pain & Gain,"$87,305,549","$49,875,291",57.1%,"$37,430,258",42.9%
81,About Time,"$87,100,449","$15,322,921",17.6%,"$71,777,528",82.4%
82,American Dreams in China,"$87,097,067",-,-,"$87,097,067",100%
83,Snowpiercer,"$86,758,912","$4,563,650",5.3%,"$82,195,262",94.7%
84,Carrie,"$84,790,678","$35,266,619",41.6%,"$49,524,059",58.4%
85,Finding Mr. Right,"$84,112,033","$6,945",<0.1%,"$84,105,088",100%
86,The Fighter Pilot,"$82,879,386",-,-,"$82,879,386",100%
87,Miracle in Cell No. 7,"$82,101,723",-,-,"$82,101,723",100%
88,The Attorney,"$78,547,586","$557,236",0.7%,"$77,990,350",99.3%
89,The Family,"$78,418,811","$36,918,811",47.1%,"$41,500,000",52.9%
90,Scary Movie V,"$78,378,744","$32,015,787",40.8%,"$46,362,957",59.2%
91,R.I.P.D.,"$78,324,220","$33,618,855",42.9%,"$44,705,365",57.1%
92,Tiny Times,"$77,717,014","$23,462",<0.1%,"$77,693,552",100%
93,Suck Me Shakespeer,"$77,676,735",-,-,"$77,676,735",100%
94,The Book Thief,"$76,586,316","$21,488,481",28.1%,"$55,097,835",71.9%
95,Escape from Planet Earth,"$74,597,643","$57,012,977",76.4%,"$17,584,666",23.6%
96,August: Osage County,"$74,188,937","$37,738,810",50.9%,"$36,450,127",49.1%
97,The Best Man Holiday,"$72,835,710","$70,525,195",96.8%,"$2,310,515",3.2%
98,The Counselor,"$71,009,334","$16,973,715",23.9%,"$54,035,619",76.1%
99,Sole a catinelle,"$69,903,094",-,-,"$69,903,094",100%
100,The Call,"$68,572,631","$51,872,378",75.6%,"$16,700,253",24.4%
101,One Direction: This Is Us,"$68,532,898","$28,873,374",42.1%,"$39,659,524",57.9%
102,Stalingrad,"$68,316,452","$1,013,945",1.5%,"$67,302,507",98.5%
103,Thunder and the House of Magic,"$64,197,205","$4,091",<0.1%,"$64,193,114",100%
104,The Grandmaster,"$64,076,736","$6,594,959",10.3%,"$57,481,777",89.7%
105,Side Effects,"$63,414,135","$32,172,757",50.7%,"$31,241,378",49.3%
