Rank,Release Group,Worldwide,Domestic,%,Foreign,%
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%
50,Avatar 2022 Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%
51,Violent Night,"$76,004,405","$50,057,405",65.9%,"$25,947,000",34.1%
52,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%
53,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
54,Interstellar 2021 Re-release,"$71,712,456",-,-,"$71,712,456",100%
55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
56,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%
57,Babylon,"$63,379,032","$15,351,455",24.2%,"$48,027,577",75.8%
58,Whitney Houston: I Wanna Dance with Somebody,"$59,805,300","$23,708,080",39.6%,"$36,097,220",60.4%
59,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
60,The Whale,"$54,932,018","$17,463,630",31.8%,"$37,468,388",68.2%
61,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
62,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%
63,Marry Me,"$50,477,597","$22,438,180",44.5%,"$28,039,417",55.5%
64,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
65,The Banshees of Inisherin,"$49,262,687","$10,582,266",21.5%,"$38,680,421",78.5%
66,The Fabelmans,"$45,591,248","$17,348,945",38.1%,"$28,242,303",61.9%
67,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
68,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%
69,Paws of Fury: The Legend of Hank,"$42,506,565","$17,811,382",41.9%,"$24,695,183",58.1%
70,The Invitation,"$38,036,130","$25,100,080",66%,"$12,936,050",34%
71,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
72,Roald Dahl's Matilda the Musical,"$36,029,699",-,-,"$36,029,699",100%
73,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
74,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
75,Skyfall 2021 Re-release,"$33,910,282",-,-,"$33,910,282",100%
76,Hunt,"$33,821,338","$25,994",<0.1%,"$33,795,344",99.9%
77,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%
78,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
79,Shin Ultraman,"$32,125,023","$601,490",1.9%,"$31,523,533",98.1%
80,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
81,Mrs. Harris Goes to Paris,"$30,943,379","$10,433,915",33.7%,"$20,509,464",66.3%
82,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
83,Tár,"$29,126,717","$6,773,650",23.3%,"$22,353,067",76.7%
84,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
85,Serial (Bad) Weddings 3,"$27,894,646",-,-,"$27,894,646",100%
86,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%
87,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%
88,Triangle of Sadness,"$26,200,425","$4,608,096",17.6%,"$21,592,329",82.4%
89,Calendar Girls,"$25,433,615",-,-,"$25,433,615",100%
90,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
91,Hero,"$24,392,492",-,-,"$24,392,492",100%
92,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,716,329",-,-,"$23,716,329",100%
93,The Last 10 Years,"$23,683,922",-,-,"$23,683,922",100%
94,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
95,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
96,Decision to Leave,"$22,874,861","$2,179,864",9.5%,"$20,694,997",90.5%
97,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
98,6/45,"$22,263,336",-,-,"$22,263,336",100%
99,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
100,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
101,Ponniyin Selvan: Part I,"$21,888,295","$4,282,000",19.6%,"$17,606,295",80.4%
102,Devotion,"$21,768,133","$20,511,938",94.2%,"$1,256,195",5.8%
103,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
104,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
105,Emergency Declaration,"$21,400,327","$412,196",1.9%,"$20,988,131",98.1%
106,The Amazing Maurice,"$21,110,363","$4,303,645",20.4%,"$16,806,718",79.6%
107,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$20,617,005",-,-,"$20,617,005",100%
108,Three Thousand Years of Longing,"$20,282,422","$8,286,741",40.9%,"$11,995,681",59.1%
109,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
110,After Ever Happy,"$19,238,073","$1,072,750",5.6%,"$18,165,323",94.4%
111,Simone: Woman of the Century,"$19,149,079",-,-,"$19,149,079",100%
112,Beast,"$18,911,959",-,-,"$18,911,959",100%
113,Broker,"$18,789,304","$1,046,899",5.6%,"$17,742,405",94.4%
114,Godfather,"$18,737,287",-,-,"$18,737,287",100%
115,School of Magical Animals: Part 2,"$18,385,774",-,-,"$18,385,774",100%
116,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
117,November,"$18,114,769",-,-,"$18,114,769",100%
118,Fragments of the Last Will,"$17,954,691",-,-,"$17,954,691",100%
119,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%
120,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%
121,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
122,Father There Is Only One 3,"$16,707,892",-,-,"$16,707,892",100%
123,Even If This Love Disappears from the World Tonight,"$16,474,515",-,-,"$16,474,515",100%
124,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%
125,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
126,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
127,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
128,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%
129,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
130,Bones and All,"$15,134,907","$7,834,907",51.8%,"$7,300,000",48.2%
131,Terrifier 2,"$15,065,239","$10,640,105",70.6%,"$4,425,134",29.4%
132,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%
133,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
134,Bros,"$14,781,867","$11,628,165",78.7%,"$3,153,702",21.3%
135,Superwho?,"$14,770,359",-,-,"$14,770,359",100%
136,X,"$14,740,889","$11,765,309",79.8%,"$2,975,580",20.2%
137,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
138,The Duke,"$14,227,217","$1,526,970",10.7%,"$12,700,247",89.3%
139,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
140,She Said,"$13,934,825","$5,825,995",41.8%,"$8,108,830",58.2%
141,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%
142,Monster,"$13,910,991",-,-,"$13,910,991",100%
143,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
144,The Legend of Maula Jatt,"$13,839,539","$5,016,493",36.2%,"$8,823,046",63.8%
145,Glass Onion,"$13,280,000","$13,280,000",100%,-,-
146,Valimai,"$13,276,393",-,-,"$13,276,393",100%
147,Moonage Daydream,"$13,095,697","$4,218,925",32.2%,"$8,876,772",67.8%
148,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%
149,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
150,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
151,Living,"$12,208,598","$3,038,113",24.9%,"$9,170,485",75.1%
152,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
153,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
154,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%,"$10,043,247",86.3%
155,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
156,Empire of Light,"$11,395,604","$1,177,577",10.3%,"$10,218,027",89.7%
157,Till,"$11,347,030","$9,000,202",79.3%,"$2,346,828",20.7%
158,Bergen,"$11,325,405",-,-,"$11,325,405",100%
159,Rise,"$11,196,824",-,-,"$11,196,824",100%
160,The Eight Mountains,"$11,152,455","$302,456",2.7%,"$10,849,999",97.3%
161,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
162,Chickenhare and the Hamster of Darkness,"$10,885,116",-,-,"$10,885,116",100%
163,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
164,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
165,Land of Legends,"$10,357,479",-,-,"$10,357,479",100%
166,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
167,The Beasts,"$10,238,603","$5,000",<0.1%,"$10,233,603",100%
168,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
169,Table for Six,"$10,138,355",-,-,"$10,138,355",100%
170,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
171,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
172,"Good Luck to You, Leo Grande","$9,783,843",-,-,"$9,783,843",100%
173,Pearl,"$9,747,742","$9,423,445",96.7%,"$324,297",3.3%
174,Rheingold,"$9,691,011",-,-,"$9,691,011",100%
175,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
176,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
177,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
178,Women Talking,"$9,259,397","$5,456,531",58.9%,"$3,802,866",41.1%
179,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"$9,071,701",-,-,"$9,071,701",100%
180,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
181,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%
182,Yolki 9,"$8,385,030",-,-,"$8,385,030",100%
183,Don,"$8,287,406",-,-,"$8,287,406",100%
184,Shotgun Wedding,"$8,277,788",-,-,"$8,277,788",100%
185,Aftersun,"$8,256,289","$1,658,790",20.1%,"$6,597,499",79.9%
186,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
187,Re/Member,"$8,166,175",-,-,"$8,166,175",100%
188,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
189,Il grande giorno,"$8,021,940",-,-,"$8,021,940",100%
190,The Tatta's,"$8,000,956",-,-,"$8,000,956",100%
191,Rabbit Academy: Mission Eggpossible,"$7,953,802",-,-,"$7,953,802",100%
192,Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%
193,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%
194,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
195,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
196,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
197,Family Affairs,"$7,330,755",-,-,"$7,330,755",100%
198,Listy do M. 5,"$7,328,061",-,-,"$7,328,061",100%
199,Laid-Back Camp Movie,"$7,317,913",-,-,"$7,317,913",100%
200,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
