Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%
7,The Batman,"$770,962,583","$369,345,583",47.9%,"$401,617,000",52.1%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$481,048,593","$185,535,345",38.6%,"$295,513,248",61.4%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
15,Black Adam,"$393,252,111","$168,152,111",42.8%,"$225,100,000",57.2%
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%
17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%
25,One Piece Film: Red,"$187,170,704","$12,775,324",6.8%,"$174,395,380",93.2%
26,M3gan,"$179,949,165","$95,043,350",52.8%,"$84,905,815",47.2%
27,Suzume,"$176,408,037","$10,760,901",6.1%,"$165,647,136",93.9%
28,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
29,Ticket to Paradise,"$168,627,607","$68,275,985",40.5%,"$100,351,622",59.5%
30,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
31,RRR,"$165,955,146","$14,500,000",8.7%,"$151,455,146",91.3%
32,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
33,The First Slam Dunk,"$152,053,119","$1,050,647",0.7%,"$151,002,472",99.3%
34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%
35,Everything Everywhere All at Once,"$139,474,528","$77,191,785",55.3%,"$62,282,743",44.7%
36,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%
37,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
38,A Man Called Otto,"$112,915,441","$64,267,657",56.9%,"$48,647,784",43.1%
39,"Lyle, Lyle, Crocodile","$110,979,946","$46,888,441",42.2%,"$64,091,505",57.8%
40,Halloween Ends,"$104,361,355","$64,079,860",61.4%,"$40,281,495",38.6%
41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%
42,The Woman King,"$97,250,903","$67,328,130",69.2%,"$29,922,773",30.8%
43,Downton Abbey: A New Era,"$92,651,580","$44,141,550",47.6%,"$48,510,030",52.4%
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%
